-1.667, -0.964,  0.444,
-1.686, -1.002,  0.452,
-1.707, -1.039,  0.458,
-1.726, -1.069,  0.461,
-1.755, -1.110,  0.458,
-1.770, -1.143,  0.438,
-1.786, -1.173,  0.419,
-1.808, -1.208,  0.420,
-1.830, -1.244,  0.414,
-1.853, -1.278,  0.407,
-1.872, -1.305,  0.394,
-1.888, -1.333,  0.388,
-1.903, -1.362,  0.383,
-1.921, -1.392,  0.377,
-1.946, -1.420,  0.354,
-1.961, -1.439,  0.321,
-1.979, -1.457,  0.296,
-1.978, -1.456,  0.247,
-1.978, -1.463,  0.218,
-1.981, -1.481,  0.211,
-1.991, -1.504,  0.214,
-1.999, -1.520,  0.218,
-2.014, -1.538,  0.203,
-2.018, -1.551,  0.184,
-2.011, -1.549,  0.181,
-2.020, -1.562,  0.173,
-2.030, -1.573,  0.154,
-2.040, -1.581,  0.156,
-2.052, -1.595,  0.148,
-2.060, -1.604,  0.168,
-2.049, -1.596,  0.162,
-2.039, -1.594,  0.161,
-2.042, -1.604,  0.170,
-2.042, -1.610,  0.180,
-2.048, -1.621,  0.202,
-2.054, -1.631,  0.217,
-2.053, -1.638,  0.229,
-2.044, -1.636,  0.227,
-2.034, -1.633,  0.221,
-2.035, -1.643,  0.234,
-2.041, -1.660,  0.232,
-2.040, -1.662,  0.233,
-2.040, -1.660,  0.246,
-2.045, -1.660,  0.265,
-2.043, -1.655,  0.271,
-2.034, -1.645,  0.267,
-2.035, -1.644,  0.254,
-2.034, -1.649,  0.259,
-2.042, -1.651,  0.262,
-2.056, -1.658,  0.272,
-2.074, -1.680,  0.258,
-2.081, -1.692,  0.253,
-2.075, -1.697,  0.233,
-2.076, -1.705,  0.206,
-2.072, -1.708,  0.168,
-2.080, -1.714,  0.144,
-2.092, -1.720,  0.126,
-2.100, -1.726,  0.105,
-2.100, -1.728,  0.071,
-2.098, -1.729,  0.058,
-2.102, -1.733,  0.048,
-2.111, -1.738,  0.031,
-2.128, -1.749,  0.023,
-2.139, -1.759,  0.018,
-2.146, -1.769, -0.002,
-2.151, -1.768, -0.004,
-2.160, -1.767, -0.017,
-2.177, -1.767, -0.022,
-2.186, -1.762, -0.018,
-2.191, -1.752, -0.017,
-2.202, -1.753, -0.010,
-2.220, -1.755,  0.006,
-2.224, -1.749,  0.013,
-2.228, -1.744,  0.001,
-2.236, -1.743,  0.013,
-2.241, -1.742,  0.008,
-2.265, -1.765,  0.015,
-2.275, -1.769,  0.018,
-2.285, -1.771,  0.011,
-2.285, -1.765, -0.007,
-2.284, -1.758, -0.035,
-2.289, -1.757, -0.060,
-2.301, -1.762, -0.063,
-2.301, -1.752, -0.077,
-2.312, -1.752, -0.083,
-2.315, -1.746, -0.088,
-2.303, -1.732, -0.101,
-2.287, -1.716, -0.127,
-2.262, -1.708, -0.199,
-2.235, -1.696, -0.274,
-2.206, -1.679, -0.356,
-2.177, -1.666, -0.426,
-2.151, -1.661, -0.485,
-2.110, -1.640, -0.561,
-2.075, -1.625, -0.622,
-2.048, -1.615, -0.678,
-2.008, -1.605, -0.747,
-1.967, -1.595, -0.794,
-1.935, -1.554, -0.813,
-1.896, -1.507, -0.831,
-1.869, -1.470, -0.830,
-1.847, -1.433, -0.829,
-1.809, -1.393, -0.835,
-1.770, -1.345, -0.849,
-1.730, -1.296, -0.860,
-1.699, -1.258, -0.868,
-1.664, -1.214, -0.854,
-1.634, -1.173, -0.826,
-1.575, -1.103, -0.654,
-1.499, -1.023, -0.501,
-1.421, -0.941, -0.354,
-1.354, -0.874, -0.211,
-1.446, -1.463,  0.844,
-0.938, -1.348,  1.516,
-0.555, -1.143,  1.765,
-0.018, -0.576,  2.124,
 0.382, -0.213,  2.287,
 0.991,  0.353,  2.370,
 1.486,  0.763,  2.348,
 2.281,  1.417,  2.207,
 2.868,  1.892,  2.028,
 3.843,  2.721,  1.818,
 4.557,  3.326,  1.587,
 5.469,  4.127,  1.279,
 6.139,  4.719,  0.985,
 6.970,  5.420,  0.664,
 7.594,  5.947,  0.387,
 8.408,  6.629,  0.061,
 9.022,  7.144, -0.207,
 9.763,  7.760, -0.494,
10.323,  8.226, -0.737,
11.021,  8.803, -0.943,
11.552,  9.242, -1.116,
12.065,  9.656, -1.206,
12.476,  9.982, -1.300,
13.097, 10.427, -1.654,
13.567, 10.762, -1.931,
14.167, 11.210, -2.251,
14.620, 11.541, -2.504,
15.103, 11.905, -2.765,
15.474, 12.185, -2.980,
15.934, 12.517, -3.203,
